Team,Position,Defensive duels per 90,Aerial duels per 90,"Aerial duels won, %",PAdj Interceptions,Non-penalty goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,Touches in box per 90,Progressive runs per 90,Accelerations per 90,Passes per 90,"Accurate passes, %",xA per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Distance,Club Fit %,League,League Strength,Adjusted Fit %,Avg Team Market Value,Final Fit %
Crystal Palace,"CF, RWF, AMF",4.15,5.3,33.33,2.39,0.23,0.46,3.07,37.5,7.5,0.77,40.0,2.54,63.64,9.15,4.92,2.46,0.31,16.68,77.88,0.11,0.08,0.23,1.54,0.69,77.78,0.54,10.133858683580106,62.2,England 1.,100.0,46.1524,25000000.0,47.30668
Dender,CF,3.6333333333333333,7.5566666666666675,38.163333333333334,1.3933333333333333,0.32,0.33666666666666667,2.0233333333333334,42.153333333333336,17.512666666666664,0.7600000000000001,34.486666666666665,2.5,42.24,9.22,3.6799999999999997,1.4833333333333334,0.24,18.5,72.56,0.09333333333333334,0.16,0.39333333333333337,1.8,1.5266666666666666,49.89666666666667,1.32,7.08778181567421,81.64,Belgium 1.,68.57,76.64706088,866666.6666666666,68.65294261599999
Deportivo Alavés,CF,2.0949999999999998,10.685,40.695,2.12,0.32,0.3,2.355,42.480000000000004,17.392,0.73,29.81,1.31,63.085,7.865,3.6449999999999996,0.6900000000000001,0.15000000000000002,14.895,68.435,0.03,0.05,0.14,1.355,0.77,25.0,0.575,10.833684217462787,57.73,Spain 1.,94.29,42.83566,2833333.3333333335,44.984961999999996
Deportivo Alavés,"CF, AMF",2.46,6.15,56.67,2.23,0.0,0.26,1.03,40.0,20.0,0.82,25.0,2.26,45.45,7.79,2.67,0.62,0.21,12.3,71.67,0.16,0.21,0.21,1.03,1.03,100.0,0.82,11.238760980501842,55.14,Spain 1.,94.29,40.91387999999999,2833333.3333333335,43.63971599999999
Derby County,CF,3.16,4.945,28.82,1.6400000000000001,0.195,0.27,1.385,67.975,15.3595,0.605,38.635,0.48000000000000004,78.125,4.735,2.63,0.255,0.01,12.21,69.05499999999999,0.04,0.025,0.1,1.46,0.755,69.85499999999999,0.6799999999999999,14.491606675459384,34.38,England 2.,71.43,31.235123879999996,1683333.3333333333,36.86458671599999
Derby County,"CF, AMF",5.82,5.82,27.71,3.85,0.14,0.12,1.09,29.03,12.903,1.79,23.53,2.42,46.38,6.84,2.17,0.67,0.11,21.89,67.15,0.11,0.18,0.14,3.16,1.65,44.68,0.6,12.42222057057572,47.59,England 2.,71.43,43.23675234,1683333.3333333333,45.265726638000004
Eintracht Frankfurt,CF,2.215,2.81,27.015,1.555,0.605,0.6599999999999999,3.9699999999999998,44.644999999999996,16.8315,1.065,39.285,5.414999999999999,50.17,14.385,5.025,3.2350000000000003,0.755,19.520000000000003,79.35,0.25,0.30000000000000004,0.655,1.52,1.7850000000000001,70.11,1.545,11.721727346957922,52.06,Germany 1.,94.29,38.628519999999995,21000000.0,42.039964
Empoli,CF,3.78,4.78,4.17,1.24,0.6,0.07,1.39,57.14,42.857,0.6,0.0,2.39,58.33,13.14,1.79,2.39,0.0,12.94,73.85,0.05,0.0,0.4,0.8,0.8,50.0,0.8,14.78638880110165,32.49,Italy 1.,97.14,24.10758,4800000.0,37.446734571428564
Empoli,"CF, AMF, LWF",3.54,10.26,54.93,2.17,0.07,0.29,1.66,26.09,4.348,1.01,42.86,1.66,47.83,9.25,3.18,1.08,0.22,20.01,74.37,0.15,0.29,0.43,1.73,2.02,42.86,0.87,9.889688680781946,63.75,Italy 1.,97.14,47.3025,4800000.0,53.68317857142857
Empoli,"CF, AMF, RWF",3.0,3.64,29.41,1.22,0.0,0.08,0.43,75.0,0.0,0.75,28.57,1.5,35.71,4.39,1.93,1.39,0.54,20.79,78.87,0.01,0.0,0.0,2.04,1.29,50.0,0.75,15.113098244618268,30.41,Italy 1.,97.14,22.56422,4800000.0,36.36638257142857
